aalib                          @1.4rc5         graphics/aalib
p5.12-io-tty                   @1.70.0         perl/p5-io-tty
p5.12-io-zlib                  @1.100.0        perl/p5-io-zlib
p5.12-ipc-cmd                  @0.780.0        perl/p5-ipc-cmd
p5.12-javascript-spidermonkey  @0.200.0        perl/p5-javascript-spidermonkey
p5.12-json                     @2.530.0        perl/p5-json
p5.12-libwww-perl              @6.40.0         perl/p5-libwww-perl
p5.12-locale-gettext           @1.50.0         perl/p5-locale-gettext
p5.12-locale-maketext-simple   @0.210.0        perl/p5-locale-maketext-simple
p5.12-lwp-mediatypes           @6.10.0         perl/p5-lwp-mediatypes
p5.12-lwp-protocol-https       @6.20.0         perl/p5-lwp-protocol-https
p5.12-lwp-useragent-determined @1.50.0         perl/p5-lwp-useragent-determined
p5.12-mailtools                @2.80.0         perl/p5-mailtools
p5.12-mime-base64              @3.130.0        perl/p5-mime-base64
p5.12-mime-tools               @5.428.0        perl/p5-mime-tools
p5.12-mime-types               @1.260.0        perl/p5-mime-types
p5.12-module-build             @0.400.0        perl/p5-module-build
p5.12-module-corelist          @2.680.0        perl/p5-module-corelist
p5.12-module-install           @1.60.0         perl/p5-module-install
p5.12-module-load              @0.220.0        perl/p5-module-load
p5.12-module-load-conditional  @0.500.0        perl/p5-module-load-conditional
p5.12-module-metadata          @1.0.9          perl/p5-module-metadata
p5.12-module-scandeps          @1.80.0         perl/p5-module-scandeps
p5.12-mojolicious              @2.460.0        perl/p5-mojolicious
p5.12-mozilla-ca               @20110904       perl/p5-mozilla-ca
p5.12-mp3-info                 @1.240.0        perl/p5-mp3-info
p5.12-net-http                 @6.10.0         perl/p5-net-http
p5.12-net-libidn               @0.120.0        perl/p5-net-libidn
p5.12-net-pcap                 @0.160.0        perl/p5-net-pcap
p5.12-net-ssh2                 @0.330.0        perl/p5-net-ssh2
p5.12-net-ssleay               @1.480.0        perl/p5-net-ssleay
p5.12-package-constants        @0.20.0         perl/p5-package-constants
p5.12-par-dist                 @0.480.0        perl/p5-par-dist
p5.12-params-check             @0.360.0        perl/p5-params-check
p5.12-params-util              @1.30.0         perl/p5-params-util
p5.12-parse-cpan-meta          @1.440.400      perl/p5-parse-cpan-meta
p5.12-parse-recdescent         @1.965.1        perl/p5-parse-recdescent
p5.12-pathtools                @3.330.0        perl/p5-pathtools
p5.12-pdf-api2                 @2.16.0         perl/p5-pdf-api2
p5.12-pdf-reuse                @0.330.0        perl/p5-pdf-reuse
p5.12-perl-ostype              @1.2.0          perl/p5-perl-ostype
p5.12-scalar-list-utils        @1.230.0        perl/p5-scalar-list-utils
p5.12-soap-lite                @0.712.0        perl/p5-soap-lite
p5.12-sql-statement            @1.330.0        perl/p5-sql-statement
p5.12-sub-uplevel              @0.220.0        perl/p5-sub-uplevel
p5.12-task-weaken              @1.30.0         perl/p5-task-weaken
p5.12-template-toolkit         @2.220.0        perl/p5-template-toolkit
p5.12-term-readkey             @2.300.0        perl/p5-term-readkey
